experiment,algorithm,ensemble,l,delta,m,k,rho,success,n_iter,residual_norm,stop_reason
weak_phase,SNIHT,gaussian,5,0.15,20,2,0.1,1,7,0.00013715311994477643,residual_small
weak_phase,SNIHT,gaussian,5,0.15,20,2,0.1,1,8,6.833772691056094e-05,residual_small
weak_phase,SNIHT,gaussian,5,0.15,20,2,0.1,1,6,8.715467833681505e-05,residual_small
weak_phase,SNIHT,gaussian,5,0.35,45,10,0.2222222222222222,1,17,0.0002685025258889876,residual_small
weak_phase,SNIHT,gaussian,5,0.35,45,10,0.2222222222222222,1,24,0.0002767862593385648,residual_small
weak_phase,SNIHT,gaussian,5,0.35,45,10,0.2222222222222222,1,27,0.00028017975831061594,residual_small
weak_phase,SNIHT,gaussian,5,0.35,45,10,0.2222222222222222,1,37,0.00034636729070004676,residual_small
weak_phase,SNIHT,gaussian,5,0.35,45,11,0.24444444444444444,0,33,1.714879619369341,stagnation
weak_phase,SNIHT,gaussian,5,0.35,45,11,0.24444444444444444,1,22,0.00023870134133274732,residual_small
weak_phase,SNIHT,gaussian,5,0.35,45,11,0.24444444444444444,1,34,0.00034278277390523273,residual_small
weak_phase,SNIHT,gaussian,5,0.35,45,11,0.24444444444444444,1,32,0.0003260846966846351,residual_small
weak_phase,SNIHT,gaussian,5,0.35,45,12,0.26666666666666666,1,31,0.0002819096914108942,residual_small
weak_phase,SNIHT,gaussian,5,0.35,45,12,0.26666666666666666,1,21,0.000339422909795044,residual_small
weak_phase,SNIHT,gaussian,5,0.35,45,12,0.26666666666666666,1,25,0.0003064623819693916,residual_small
weak_phase,SNIHT,gaussian,5,0.35,45,12,0.26666666666666666,1,33,0.00029395376557229155,residual_small
weak_phase,SNIHT,gaussian,5,0.55,71,25,0.352112676056338,1,51,0.0004726017952331954,residual_small
weak_phase,SNIHT,gaussian,5,0.55,71,25,0.352112676056338,0,58,2.2881063061575744,stagnation
weak_phase,SNIHT,gaussian,5,0.55,71,25,0.352112676056338,1,41,0.00047514714633888804,residual_small
weak_phase,SNIHT,gaussian,5,0.55,71,25,0.352112676056338,0,54,0.000517895000392025,residual_small
weak_phase,SNIHT,gaussian,5,0.55,71,26,0.36619718309859156,0,47,0.000524646067823207,residual_small
weak_phase,SNIHT,gaussian,5,0.55,71,26,0.36619718309859156,0,47,0.0005462155739866934,residual_small
weak_phase,SNIHT,gaussian,5,0.55,71,26,0.36619718309859156,0,63,0.0004952173383742181,residual_small
weak_phase,SNIHT,gaussian,5,0.55,71,26,0.36619718309859156,1,35,0.0005062023761004687,residual_small
weak_phase,SNIHT,gaussian,5,0.55,71,27,0.38028169014084506,0,47,0.0005005114738444777,residual_small
weak_phase,SNIHT,gaussian,5,0.55,71,27,0.38028169014084506,0,72,0.0005021766417549749,residual_small
weak_phase,SNIHT,gaussian,5,0.55,71,27,0.38028169014084506,0,66,0.0005105118960763556,residual_small
weak_phase,SNIHT,gaussian,5,0.55,71,27,0.38028169014084506,0,45,0.0004997872950075361,residual_small
weak_phase,SNIHT,gaussian,5,0.75,96,17,0.17708333333333334,1,21,0.0005365770810850832,residual_small
weak_phase,SNIHT,gaussian,5,0.75,96,17,0.17708333333333334,0,18,0.0006997219907616636,residual_small
weak_phase,SNIHT,gaussian,5,0.75,96,17,0.17708333333333334,0,17,0.0007395780688729003,residual_small
weak_phase,SNIHT,gaussian,5,0.75,96,17,0.17708333333333334,1,17,0.000532409627903337,residual_small
weak_phase,SNIHT,gaussian,5,0.75,96,18,0.1875,1,18,0.0006461560975047685,residual_small
weak_phase,SNIHT,gaussian,5,0.75,96,18,0.1875,1,19,0.0005470491900189902,residual_small
weak_phase,SNIHT,gaussian,5,0.75,96,18,0.1875,1,19,0.0006074887359558119,residual_small
weak_phase,SNIHT,gaussian,5,0.75,96,18,0.1875,1,25,0.0005874884401057018,residual_small
weak_phase,SNIHT,gaussian,5,0.75,96,19,0.19791666666666666,0,28,0.0006031717259905752,residual_small
weak_phase,SNIHT,gaussian,5,0.75,96,19,0.19791666666666666,0,26,0.0006440529192734574,residual_small
weak_phase,SNIHT,gaussian,5,0.75,96,19,0.19791666666666666,1,21,0.0005473563790502995,residual_small
weak_phase,SNIHT,gaussian,5,0.75,96,19,0.19791666666666666,0,27,0.0006514349370021834,residual_small
weak_phase,SNIHT,gaussian,5,0.9,116,14,0.1206896551724138,0,14,0.0008182463719246391,residual_small
weak_phase,SNIHT,gaussian,5,0.9,116,14,0.1206896551724138,0,16,0.0008790397521401341,residual_small
weak_phase,SNIHT,gaussian,5,0.9,116,14,0.1206896551724138,1,13,0.0007318088264990345,residual_small
weak_phase,SNIHT,gaussian,5,0.9,116,14,0.1206896551724138,1,16,0.0006807449619894097,residual_small
weak_phase,SNIHT,gaussian,5,0.9,116,15,0.12931034482758622,1,15,0.0007598967273953507,residual_small
weak_phase,SNIHT,gaussian,5,0.9,116,15,0.12931034482758622,1,13,0.0005860662138709407,residual_small
